25,4.37
ExampleSphere_Upper\UPyPlotExampleSender\xVar,ExampleSphere_Upper\UPyPlotExampleSender\zVar,ExampleSphere_Upper\UPyPlotExampleSender\yVar,ExampleSphere_Lower\UPyPlotExampleSender\xVar,ExampleSphere_Lower\UPyPlotExampleSender\zVar,ExampleSphere_Lower\UPyPlotExampleSender\yVar
3.26,0.14,2.50,3.40,0.45,-2.50
3.28,0.22,2.50,3.38,0.69,-2.50
3.36,0.18,2.50,3.40,0.63,-2.50
3.45,0.25,2.50,3.54,0.51,-2.50
3.62,0.19,2.50,3.60,0.46,-2.50
3.67,0.27,2.50,3.61,0.56,-2.50
3.79,0.25,2.50,3.60,0.50,-2.50
3.92,0.21,2.50,3.75,0.46,-2.50
3.96,0.04,2.50,3.83,0.47,-2.50
4.02,-0.08,2.50,3.91,0.58,-2.50
4.10,-0.01,2.50,3.89,0.57,-2.50
4.17,-0.10,2.50,4.02,0.50,-2.50
4.17,-0.20,2.50,3.99,0.57,-2.50
4.25,-0.35,2.50,4.10,0.47,-2.50
4.27,-0.21,2.50,4.13,0.54,-2.50
4.35,-0.44,2.50,4.26,0.43,-2.50
4.37,-0.53,2.50,4.37,0.42,-2.50
4.53,-0.58,2.50,4.38,0.34,-2.50
4.55,-0.52,2.50,4.40,0.38,-2.50
4.57,-0.50,2.50,4.35,0.23,-2.50
4.55,-0.46,2.50,4.30,0.11,-2.50
4.64,-0.31,2.50,4.42,0.24,-2.50
4.60,-0.16,2.50,4.53,0.42,-2.50
4.58,-0.08,2.50,4.69,0.57,-2.50
4.50,0.01,2.50,4.63,0.53,-2.50
